Date,Name,Year,Letterboxd URI
2023-09-12,My Fair Lady,1964,https://boxd.it/1UBI
2023-10-03,Blood Diamond,2006,https://boxd.it/28Tm
2023-10-03,The Maid and the Magician,1992,https://boxd.it/hnW6
2023-10-03,The Insensitive Princess,1983,https://boxd.it/EB6a
2023-10-03,Tales of the Night,1992,https://boxd.it/sPGs
2023-10-09,Babel,2006,https://boxd.it/292o
2023-10-22,Rush,2013,https://boxd.it/3lyS
2023-11-06,The Killer,2023,https://boxd.it/u6WE
2023-11-30,Awakenings,1990,https://boxd.it/1USu
2023-12-03,The Inventor,2023,https://boxd.it/pdPU
2024-01-09,Checkered Ninja,2018,https://boxd.it/j15I
2024-01-29,Millennium Actress,2001,https://boxd.it/1fK0
2024-01-29,Alive,1993,https://boxd.it/210u
2024-02-01,A War of Children,1972,https://boxd.it/9GOY
2024-02-01,Hunger,2008,https://boxd.it/1Wso
2024-02-25,Dahomey,2024,https://boxd.it/FFBI
2024-02-26,Hostiles,2017,https://boxd.it/dpiO
2024-03-07,Willow,1988,https://boxd.it/29t0
2024-03-07,Being There,1979,https://boxd.it/1WxS
2024-03-07,Adaptation.,2002,https://boxd.it/26mA
2024-03-07,Being John Malkovich,1999,https://boxd.it/2ahu
2024-03-07,Stranger Than Fiction,2006,https://boxd.it/28Za
2024-03-13,Late Night with the Devil,2023,https://boxd.it/zo6G
2024-03-23,Big Fish & Begonia,2016,https://boxd.it/8bfm
2024-03-24,Rise of the Black Pharaohs,2014,https://boxd.it/9q70
2024-03-25,Frank Herbert's Children of Dune,2003,https://boxd.it/5OQq
2024-03-25,The Dancing Shepherdess,1992,https://boxd.it/hnWg
2024-03-25,The Four Wishes of the Villein and of His Wife,1987,https://boxd.it/kEKi
2024-03-25,The Prince of Jewels,1992,https://boxd.it/hnWA
2024-03-25,Frank Herbert's Dune,2000,https://boxd.it/29ok
2024-03-25,Chevalier,2022,https://boxd.it/uAOA
2024-04-10,Perfect Days,2023,https://boxd.it/ATh8
2024-04-18,Black Narcissus,1947,https://boxd.it/1Kce
2024-04-26,Secret Mall Apartment,2024,https://boxd.it/L2S8
2024-04-26,Sugarcane,2024,https://boxd.it/HQ7y
2024-04-26,Fancy Dance,2023,https://boxd.it/E30s
2024-04-26,The Settlers,2023,https://boxd.it/Boyu
2024-05-01,Kingdom of Heaven,2005,https://boxd.it/28Gs
2024-05-01,Searching,2018,https://boxd.it/hDPg
2024-05-26,Daughter of Genghis,2024,https://boxd.it/Lkd8
2024-05-29,The Making of 'Dune: Part One',2022,https://boxd.it/Nxe8
2024-05-29,An Ensemble for the Ages,2024,https://boxd.it/MwJ8
2024-06-04,Freedom Writers,2007,https://boxd.it/28p2
2024-07-24,Shattered Glass,2003,https://boxd.it/1PXa
2024-07-31,Unicorns,2023,https://boxd.it/C6XI
2024-08-18,Inside Llewyn Davis,2013,https://boxd.it/34Ro
2024-08-22,Turtles Can Fly,2004,https://boxd.it/20l2
2024-09-09,The Beast,2023,https://boxd.it/yqmk
2024-09-09,Femme,2023,https://boxd.it/ASQw
